ABW.cif
19.746	10.508	17.54	90.0	90.0	90.0
29	30	O22	SI8
30	10	SI8	O8
30	29	SI8	O22
30	28	SI8	O21
30	32	SI8	O24
31	25	O23	SI6
32	30	O24	SI8
33	43	O25	SI11
33	36	O25	SI9
34	36	O26	SI9
35	36	O27	SI9
35	56	O27	SI14
36	34	SI9	O26
36	35	SI9	O27
36	33	SI9	O25
36	48	SI9	O36
37	162	O28	SI44
37	40	O28	SI10
38	40	O29	SI10
39	40	O30	SI10
39	54	O30	SI13
40	38	SI10	O29
40	39	SI10	O30
40	37	SI10	O28
40	49	SI10	O37
41	43	O31	SI11
42	60	O32	SI16
42	43	O32	SI11
43	33	SI11	O25
43	42	SI11	O32
43	41	SI11	O31
43	50	SI11	O38
44	47	O33	SI12
45	47	O34	SI12
46	58	O35	SI15
46	47	O35	SI12
47	44	SI12	O33
47	46	SI12	O35
47	45	SI12	O34
47	51	SI12	O39
48	36	O36	SI9
48	58	O36	SI15
49	40	O37	SI10
50	43	O38	SI11
50	54	O38	SI13
51	47	O39	SI12
52	54	O40	SI13
52	58	O40	SI15
53	54	O41	SI13
53	101	O41	SI27
54	52	SI13	O40
54	50	SI13	O38
54	39	SI13	O30
54	53	SI13	O41
55	56	O42	SI14
56	55	SI14	O42
56	61	SI14	O45
56	13	SI14	O10
56	35	SI14	O27
57	58	O43	SI15
57	95	O43	SI25
58	46	SI15	O35
58	48	SI15	O36
58	57	SI15	O43
58	52	SI15	O40
59	170	O44	SI46
59	60	O44	SI16
60	6	SI16	O5
60	42	SI16	O32
60	59	SI16	O44
60	62	SI16	O46
61	56	O45	SI14
62	60	O46	SI16
63	71	O47	SI19
63	65	O47	SI17
64	65	O48	SI17
64	85	O48	SI22
65	26	SI17	O20
65	64	SI17	O48
65	63	SI17	O47
65	76	SI17	O56
66	188	O49	SI52
66	69	O49	SI18
67	118	O50	SI32
67	69	O50	SI18
68	69	O51	SI18
68	82	O51	SI21
69	67	SI18	O50
69	68	SI18	O51
69	66	SI18	O49
69	77	SI18	O57
70	90	O52	SI24
70	71	O52	SI19
71	63	SI19	O47
71	21	SI19	O17
71	70	SI19	O52
71	78	SI19	O58
72	75	O53	SI20
73	75	O54	SI20
73	114	O54	SI30
74	87	O55	SI23
74	75	O55	SI20
75	72	SI20	O53
75	73	SI20	O54
75	74	SI20	O55
75	79	SI20	O59
76	65	O56	SI17
76	87	O56	SI23
77	69	O57	SI18
78	71	O58	SI19
78	82	O58	SI21
79	75	O59	SI20
80	82	O60	SI21
80	87	O60	SI23
81	82	O61	SI21
82	80	SI21	O60
82	78	SI21	O58
82	68	SI21	O51
82	81	SI21	O61
83	85	O62	SI22
84	85	O63	SI22
85	83	SI22	O62
85	84	SI22	O63
85	91	SI22	O67
85	64	SI22	O48
86	87	O64	SI23
87	74	SI23	O55
87	76	SI23	O56
87	86	SI23	O64
87	80	SI23	O60
88	197	O65	SI54
88	90	O65	SI24
89	90	O66	SI24
90	70	SI24	O52
90	89	SI24	O66
90	88	SI24	O65
90	92	SI24	O68
91	85	O67	SI22
92	90	O68	SI24
93	101	O69	SI27
93	95	O69	SI25
94	95	O70	SI25
94	114	O70	SI30
95	57	SI25	O43
95	94	SI25	O70
95	93	SI25	O69
95	106	SI25	O78
96	216	O71	SI60
96	99	O71	SI26
97	99	O72	SI26
98	99	O73	SI26
98	112	O73	SI29
99	97	SI26	O72
99	98	SI26	O73
99	96	SI26	O71
99	107	SI26	O79
100	118	O74	SI32
100	101	O74	SI27
101	93	SI27	O69
101	100	SI27	O74
101	53	SI27	O41
101	108	SI27	O80
102	105	O75	SI28
103	105	O76	SI28
104	116	O77	SI31
104	105	O77	SI28
105	102	SI28	O75
105	103	SI28	O76
105	104	SI28	O77
105	109	SI28	O81
106	95	O78	SI25
106	116	O78	SI31
107	99	O79	SI26
108	101	O80	SI27
108	112	O80	SI29
109	105	O81	SI28
110	112	O82	SI29
110	116	O82	SI31
111	112	O83	SI29
112	110	SI29	O82
112	108	SI29	O80
112	111	SI29	O83
112	98	SI29	O73
113	114	O84	SI30
114	113	SI30	O84
114	19	SI30	O15
114	73	SI30	O54
114	94	SI30	O70
115	116	O85	SI31
116	104	SI31	O77
116	106	SI31	O78
116	115	SI31	O85
116	110	SI31	O82
117	224	O86	SI62
117	118	O86	SI32
118	17	SI32	O13
118	67	SI32	O50
118	100	SI32	O74
118	117	SI32	O86
119	129	O87	SI35
119	122	O87	SI33
120	122	O88	SI33
121	122	O89	SI33
121	141	O89	SI38
122	120	SI33	O88
122	121	SI33	O89
122	119	SI33	O87
122	133	SI33	O97
123	126	O90	SI34
124	126	O91	SI34
124	174	O91	SI48
125	126	O92	SI34
125	139	O92	SI37
126	124	SI34	O91
126	125	SI34	O92
126	123	SI34	O90
126	134	SI34	O98
127	129	O93	SI35
128	146	O94	SI40
128	129	O94	SI35
129	119	SI35	O87
129	128	SI35	O94
129	127	SI35	O93
129	135	SI35	O99
130	132	O95	SI36
130	170	O95	SI46
131	143	O96	SI39
131	132	O96	SI36
132	5	SI36	O4
132	131	SI36	O96
132	130	SI36	O95
132	136	SI36	O100
133	122	O97	SI33
133	143	O97	SI39
134	228	O98	SI64
134	126	O98	SI34
135	129	O99	SI35
135	139	O99	SI37
136	132	O100	SI36
136	224	O100	SI62
137	139	O101	SI37
137	143	O101	SI39
138	139	O102	SI37
138	185	O102	SI51
139	137	SI37	O101
139	135	SI37	O99
139	138	SI37	O102
139	125	SI37	O92
140	141	O103	SI38
141	28	SI38	O21
141	147	SI38	O107
141	140	SI38	O103
141	121	SI38	O89
142	143	O104	SI39
142	179	O104	SI49
143	131	SI39	O96
143	133	SI39	O97
143	142	SI39	O104
143	137	SI39	O101
144	146	O105	SI40
145	146	O106	SI40
146	128	SI40	O94
146	145	SI40	O106
146	144	SI40	O105
146	148	SI40	O108
147	141	O107	SI38
148	146	O108	SI40
149	159	O109	SI43
149	152	O109	SI41
150	152	O110	SI41
151	152	O111	SI41
151	170	O111	SI46
152	150	SI41	O110
152	151	SI41	O111
152	149	SI41	O109
152	163	SI41	O119
153	156	O112	SI42
154	156	O113	SI42
155	156	O114	SI42
155	169	O114	SI45
156	154	SI42	O113
156	155	SI42	O114
156	153	SI42	O112
156	164	SI42	O120
157	159	O115	SI43
158	174	O116	SI48
158	159	O116	SI43
159	149	SI43	O109
159	158	SI43	O116
159	165	SI43	O121
159	157	SI43	O115
160	162	O117	SI44
161	172	O118	SI47
161	162	O118	SI44
162	37	SI44	O28
162	160	SI44	O117
162	166	SI44	O122
162	161	SI44	O118
163	152	O119	SI41
163	172	O119	SI47
164	156	O120	SI42
165	159	O121	SI43
165	169	O121	SI45
166	162	O122	SI44
167	169	O123	SI45
167	172	O123	SI47
